trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
399,True,"{'a': 0, 'e': 0}",20,0,-198.68716361000585,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
400,True,"{'a': 0, 'e': 0}",25,0,-20.63274626872706,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
401,True,"{'a': 0, 'e': 0}",30,20,-84.3788926960884,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
402,True,"{'a': 0, 'e': 0}",20,0,-21.693195329705084,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
403,True,"{'a': 0, 'e': 0}",20,0,-120.7019485447437,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
404,True,"{'a': 0, 'e': 0}",20,2,-65.99891889988683,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
405,True,"{'a': 0, 'e': 0}",20,0,-124.76017245400499,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
406,True,"{'a': 0, 'e': 0}",30,0,-75.29535314039447,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
407,True,"{'a': 0, 'e': 0}",25,0,-113.70228805876262,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
408,True,"{'a': 0, 'e': 0}",30,9,-38.03770339582302,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 0}",1
409,True,"{'a': 0, 'e': 0}",25,0,-157.7255628651355,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
410,True,"{'a': 0, 'e': 0}",25,0,-94.39060153005926,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
411,True,"{'a': 0, 'e': 0}",25,0,-108.62986136119987,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
412,True,"{'a': 0, 'e': 0}",30,0,-141.5027280758142,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
413,True,"{'a': 0, 'e': 0}",20,0,-144.84592121158164,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
414,True,"{'a': 0, 'e': 0}",20,0,-109.01887081922798,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
415,True,"{'a': 0, 'e': 0}",20,0,-121.84772283066862,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
416,True,"{'a': 0, 'e': 0}",25,0,-97.11118941378147,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
417,True,"{'a': 0, 'e': 0}",25,0,-68.54591442059912,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
418,True,"{'a': 0, 'e': 0}",30,0,-144.1940782956154,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
419,True,"{'a': 0, 'e': 0}",30,0,-115.08981035720518,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
420,True,"{'a': 0, 'e': 0}",25,0,-148.03346173433323,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
421,True,"{'a': 0, 'e': 0}",20,8,-57.276047910254555,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
422,True,"{'a': 0, 'e': 0}",25,0,-143.70957318378214,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
423,True,"{'a': 0, 'e': 0}",25,0,-81.08709269016263,"{0: 12, 1: 7, 2: 6, 3: 0, 4: 0}",0
424,True,"{'a': 0, 'e': 0}",30,0,-292.36519706332905,"{0: 13, 1: 3, 2: 7, 3: 3, 4: 4}",0
425,True,"{'a': 0, 'e': 0}",25,0,-50.99939443821606,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
426,True,"{'a': 0, 'e': 0}",20,0,-71.14543694897007,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
427,True,"{'a': 0, 'e': 0}",20,0,-49.819173847405445,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
428,True,"{'a': 0, 'e': 0}",25,0,-132.99678958857274,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
429,True,"{'a': 0, 'e': 0}",20,0,-147.29902558932727,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
430,True,"{'a': 0, 'e': 0}",25,0,-31.49177525491148,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
431,True,"{'a': 0, 'e': 0}",20,0,-48.70581776174807,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
432,True,"{'a': 0, 'e': 0}",20,0,-149.41299667800536,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
433,True,"{'a': 0, 'e': 0}",30,0,-197.6914878024479,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
434,True,"{'a': 0, 'e': 0}",30,0,-57.926373738866886,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
435,True,"{'a': 0, 'e': 0}",20,0,-113.10557498318998,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
436,True,"{'a': 0, 'e': 0}",20,0,-115.9587698691929,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",1
437,True,"{'a': 0, 'e': 0}",30,13,-49.42727845954473,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
438,True,"{'a': 0, 'e': 0}",20,0,-143.02371476220011,"{0: 8, 1: 6, 2: 2, 3: 3, 4: 1}",0
